Wavelength Spectrum:
Wavelength: -3.60e-03 m, Magnitude: 0.49999999999923483
Wavelength: 2.75e-06 m, Magnitude: 0.5001309257262968
Wavelength: 2.74e-06 m, Magnitude: 0.5001315257454149
Wavelength: 2.73e-06 m, Magnitude: 0.5001321271375156
Wavelength: 2.73e-06 m, Magnitude: 0.5001327299027444
Wavelength: 2.72e-06 m, Magnitude: 0.5001333340404729
Wavelength: 2.72e-06 m, Magnitude: 0.500133939550467
Wavelength: 2.71e-06 m, Magnitude: 0.5001345464333236
Wavelength: 2.70e-06 m, Magnitude: 0.5001351546890731
Wavelength: 2.70e-06 m, Magnitude: 0.5001357643181603
Wavelength: 2.69e-06 m, Magnitude: 0.5001363753190855
Wavelength: 2.68e-06 m, Magnitude: 0.5001369876923804
Wavelength: 2.68e-06 m, Magnitude: 0.5001376014392022
Wavelength: 2.67e-06 m, Magnitude: 0.5001382165592766
Wavelength: 2.67e-06 m, Magnitude: 0.5001388330517162
Wavelength: 2.66e-06 m, Magnitude: 0.5001394509157969
Wavelength: 2.65e-06 m, Magnitude: 0.5001400701529496
Wavelength: 2.65e-06 m, Magnitude: 0.5001406907646583
Wavelength: 2.64e-06 m, Magnitude: 0.5001413127491173
Wavelength: 2.64e-06 m, Magnitude: 0.5001419361046935
Wavelength: 2.63e-06 m, Magnitude: 0.5001425608318136
Wavelength: 2.63e-06 m, Magnitude: 0.5001431869340679
Wavelength: 2.62e-06 m, Magnitude: 0.5001438144135668
Wavelength: 2.61e-06 m, Magnitude: 0.5001444432661731
Wavelength: 2.61e-06 m, Magnitude: 0.5001450734864122
Wavelength: 2.60e-06 m, Magnitude: 0.5001457050738543
Wavelength: 2.60e-06 m, Magnitude: 0.5001463380332264
Wavelength: 2.59e-06 m, Magnitude: 0.5001469723704649
Wavelength: 2.59e-06 m, Magnitude: 0.5001476080847781
Wavelength: 2.58e-06 m, Magnitude: 0.5001482451721536
Wavelength: 2.58e-06 m, Magnitude: 0.5001488836284698
Wavelength: 2.57e-06 m, Magnitude: 0.5001495234578979
Wavelength: 2.56e-06 m, Magnitude: 0.5001501646620153
Wavelength: 2.56e-06 m, Magnitude: 0.5001508072397396
Wavelength: 2.55e-06 m, Magnitude: 0.5001514511892264
Wavelength: 2.55e-06 m, Magnitude: 0.5001520965105912
Wavelength: 2.54e-06 m, Magnitude: 0.5001527432049867
Wavelength: 2.54e-06 m, Magnitude: 0.5001533912745318
Wavelength: 2.53e-06 m, Magnitude: 0.5001540407160634
Wavelength: 2.53e-06 m, Magnitude: 0.500154691529796
Wavelength: 2.52e-06 m, Magnitude: 0.5001553437163785
Wavelength: 2.52e-06 m, Magnitude: 0.5001559972769132
Wavelength: 2.51e-06 m, Magnitude: 0.5001566522108641
Wavelength: 2.51e-06 m, Magnitude: 0.500157308517096
Wavelength: 2.50e-06 m, Magnitude: 0.5001579661956012
Wavelength: 2.49e-06 m, Magnitude: 0.5001586252478624
Wavelength: 2.49e-06 m, Magnitude: 0.50015928567369
Wavelength: 2.48e-06 m, Magnitude: 0.5001599474725152
Wavelength: 2.48e-06 m, Magnitude: 0.5001606106436419
Wavelength: 2.47e-06 m, Magnitude: 0.5001612751875788
Wavelength: 2.47e-06 m, Magnitude: 0.5001619411055003
Wavelength: 2.46e-06 m, Magnitude: 0.5001626083967805
Wavelength: 2.46e-06 m, Magnitude: 0.5001632770606035
Wavelength: 2.45e-06 m, Magnitude: 0.5001639470969563
Wavelength: 2.45e-06 m, Magnitude: 0.5001646185069073
Wavelength: 2.44e-06 m, Magnitude: 0.5001652912907076
Wavelength: 2.44e-06 m, Magnitude: 0.5001659654473348
Wavelength: 2.43e-06 m, Magnitude: 0.5001666409762896
Wavelength: 2.43e-06 m, Magnitude: 0.5001673178788305
Wavelength: 2.42e-06 m, Magnitude: 0.5001679961548592
Wavelength: 2.42e-06 m, Magnitude: 0.5001686758042744
Wavelength: 2.41e-06 m, Magnitude: 0.5001693568262982
Wavelength: 2.41e-06 m, Magnitude: 0.5001700392211499
Wavelength: 2.40e-06 m, Magnitude: 0.5001707229897556
Wavelength: 2.40e-06 m, Magnitude: 0.5001714081321703
Wavelength: 2.40e-06 m, Magnitude: 0.5001720946471826
Wavelength: 2.39e-06 m, Magnitude: 0.5001727825350759
Wavelength: 2.39e-06 m, Magnitude: 0.5001734717961663
Wavelength: 2.38e-06 m, Magnitude: 0.5001741624313275
Wavelength: 2.38e-06 m, Magnitude: 0.5001748544399335
Wavelength: 2.37e-06 m, Magnitude: 0.5001755478209652
Wavelength: 2.37e-06 m, Magnitude: 0.5001762425751515
Wavelength: 2.36e-06 m, Magnitude: 0.5001769387030203
Wavelength: 2.36e-06 m, Magnitude: 0.5001776362046418
Wavelength: 2.35e-06 m, Magnitude: 0.5001783350800024
Wavelength: 2.35e-06 m, Magnitude: 0.5001790353262308
Wavelength: 2.34e-06 m, Magnitude: 0.5001797369471017
Wavelength: 2.34e-06 m, Magnitude: 0.5001804399421452
Wavelength: 2.33e-06 m, Magnitude: 0.5001811443103479
Wavelength: 2.33e-06 m, Magnitude: 0.5001818500519064
Wavelength: 2.33e-06 m, Magnitude: 0.5001825571657113
Wavelength: 2.32e-06 m, Magnitude: 0.5001832656529298
Wavelength: 2.32e-06 m, Magnitude: 0.5001839755169081
Wavelength: 2.31e-06 m, Magnitude: 0.5001846867507673
Wavelength: 2.31e-06 m, Magnitude: 0.5001853993567462
Wavelength: 2.30e-06 m, Magnitude: 0.5001861133385479
Wavelength: 2.30e-06 m, Magnitude: 0.5001868286946541
Wavelength: 2.29e-06 m, Magnitude: 0.500187545422734
Wavelength: 2.29e-06 m, Magnitude: 0.5001882635244097
Wavelength: 2.29e-06 m, Magnitude: 0.5001889829991982
Wavelength: 2.28e-06 m, Magnitude: 0.5001897038481282
Wavelength: 2.28e-06 m, Magnitude: 0.5001904260711061
Wavelength: 2.27e-06 m, Magnitude: 0.5001911496666751
Wavelength: 2.27e-06 m, Magnitude: 0.5001918746353673
Wavelength: 2.26e-06 m, Magnitude: 0.5001926009779271
Wavelength: 2.26e-06 m, Magnitude: 0.500193328694608
Wavelength: 2.26e-06 m, Magnitude: 0.5001940577849029
Wavelength: 2.25e-06 m, Magnitude: 0.5001947882475679
Wavelength: 2.25e-06 m, Magnitude: 0.5001955200837975
Wavelength: 2.24e-06 m, Magnitude: 0.5001962532946533
Wavelength: 2.24e-06 m, Magnitude: 0.5001969878791982
Wavelength: 2.23e-06 m, Magnitude: 0.5001977238366397
Wavelength: 2.23e-06 m, Magnitude: 0.5001984611669329
Wavelength: 2.23e-06 m, Magnitude: 0.5001991998715786
Wavelength: 2.22e-06 m, Magnitude: 0.5001999399507695
Wavelength: 2.22e-06 m, Magnitude: 0.5002006814030703
Wavelength: 2.21e-06 m, Magnitude: 0.5002014242278778
Wavelength: 2.21e-06 m, Magnitude: 0.5002021684265039
Wavelength: 2.21e-06 m, Magnitude: 0.500202913999847
Wavelength: 2.20e-06 m, Magnitude: 0.5002036609474476
Wavelength: 2.20e-06 m, Magnitude: 0.5002044092671643
Wavelength: 2.19e-06 m, Magnitude: 0.500205158959796
Wavelength: 2.19e-06 m, Magnitude: 0.5002059100274858
Wavelength: 2.19e-06 m, Magnitude: 0.50020666247005
Wavelength: 2.18e-06 m, Magnitude: 0.5002074162856043
Wavelength: 2.18e-06 m, Magnitude: 0.5002081714726748
Wavelength: 2.17e-06 m, Magnitude: 0.500208928033973
Wavelength: 2.17e-06 m, Magnitude: 0.5002096859718865
Wavelength: 2.17e-06 m, Magnitude: 0.5002104452840566
Wavelength: 2.16e-06 m, Magnitude: 0.5002112059668407
Wavelength: 2.16e-06 m, Magnitude: 0.50021196802064
Wavelength: 2.15e-06 m, Magnitude: 0.5002127314528323
Wavelength: 2.15e-06 m, Magnitude: 0.5002134962656992
Wavelength: 2.15e-06 m, Magnitude: 0.500214262453101
Wavelength: 2.14e-06 m, Magnitude: 0.5002150300053109
Wavelength: 2.14e-06 m, Magnitude: 0.5002157989219871
Wavelength: 2.14e-06 m, Magnitude: 0.5002165692115261
Wavelength: 2.13e-06 m, Magnitude: 0.500217340883062
Wavelength: 2.13e-06 m, Magnitude: 0.5002181139353061
Wavelength: 2.12e-06 m, Magnitude: 0.5002188883607674
Wavelength: 2.12e-06 m, Magnitude: 0.5002196641549902
Wavelength: 2.12e-06 m, Magnitude: 0.5002204413224032
Wavelength: 2.11e-06 m, Magnitude: 0.5002212198663766
Wavelength: 2.11e-06 m, Magnitude: 0.5002219997857941
Wavelength: 2.11e-06 m, Magnitude: 0.5002227810774815
Wavelength: 2.10e-06 m, Magnitude: 0.5002235637414036
Wavelength: 2.10e-06 m, Magnitude: 0.500224347779704
Wavelength: 2.09e-06 m, Magnitude: 0.5002251331940368
Wavelength: 2.09e-06 m, Magnitude: 0.5002259199820397
Wavelength: 2.09e-06 m, Magnitude: 0.500226708142469
Wavelength: 2.08e-06 m, Magnitude: 0.5002274976765703
Wavelength: 2.08e-06 m, Magnitude: 0.5002282885859842
Wavelength: 2.08e-06 m, Magnitude: 0.5002290808699212
Wavelength: 2.07e-06 m, Magnitude: 0.5002298745270629
Wavelength: 2.07e-06 m, Magnitude: 0.5002306695571854
Wavelength: 2.07e-06 m, Magnitude: 0.5002314659621805
Wavelength: 2.06e-06 m, Magnitude: 0.5002322637418143
Wavelength: 2.06e-06 m, Magnitude: 0.5002330628955142
Wavelength: 2.05e-06 m, Magnitude: 0.5002338634225052
Wavelength: 2.05e-06 m, Magnitude: 0.5002346653231526
Wavelength: 2.05e-06 m, Magnitude: 0.5002354685988519
Wavelength: 2.04e-06 m, Magnitude: 0.5002362732490261
Wavelength: 2.04e-06 m, Magnitude: 0.5002370792726708
Wavelength: 2.04e-06 m, Magnitude: 0.5002378866699709
Wavelength: 2.03e-06 m, Magnitude: 0.50023869544178
Wavelength: 2.03e-06 m, Magnitude: 0.5002395055883571
Wavelength: 2.03e-06 m, Magnitude: 0.500240317108896
Wavelength: 2.02e-06 m, Magnitude: 0.5002411300029103
Wavelength: 2.02e-06 m, Magnitude: 0.5002419442711564
Wavelength: 2.02e-06 m, Magnitude: 0.5002427599142437
Wavelength: 2.01e-06 m, Magnitude: 0.5002435769315475
Wavelength: 2.01e-06 m, Magnitude: 0.5002443953227089
Wavelength: 2.01e-06 m, Magnitude: 0.500245215087471
Wavelength: 2.00e-06 m, Magnitude: 0.5002460362272614
Wavelength: 2.00e-06 m, Magnitude: 0.5002468587416743
Wavelength: 2.00e-06 m, Magnitude: 0.5002476826298711
Wavelength: 1.99e-06 m, Magnitude: 0.5002485078921488
Wavelength: 1.99e-06 m, Magnitude: 0.5002493345285567
Wavelength: 1.99e-06 m, Magnitude: 0.5002501625397874
Wavelength: 1.98e-06 m, Magnitude: 0.5002509919255557
Wavelength: 1.98e-06 m, Magnitude: 0.5002518226852612
Wavelength: 1.98e-06 m, Magnitude: 0.5002526548189616
Wavelength: 1.97e-06 m, Magnitude: 0.5002534883271689
Wavelength: 1.97e-06 m, Magnitude: 0.5002543232101121
Wavelength: 1.97e-06 m, Magnitude: 0.5002551594675073
Wavelength: 1.96e-06 m, Magnitude: 0.5002559970981885
Wavelength: 1.96e-06 m, Magnitude: 0.5002568361038204
Wavelength: 1.96e-06 m, Magnitude: 0.5002576764842581
Wavelength: 1.95e-06 m, Magnitude: 0.5002585182390601
Wavelength: 1.95e-06 m, Magnitude: 0.5002593613680297
Wavelength: 1.95e-06 m, Magnitude: 0.5002602058711477
Wavelength: 1.94e-06 m, Magnitude: 0.5002610517488908
Wavelength: 1.94e-06 m, Magnitude: 0.5002618990020201
Wavelength: 1.94e-06 m, Magnitude: 0.5002627476286743
Wavelength: 1.94e-06 m, Magnitude: 0.500263597629111
Wavelength: 1.93e-06 m, Magnitude: 0.5002644490050439
Wavelength: 1.93e-06 m, Magnitude: 0.5002653017557819
Wavelength: 1.93e-06 m, Magnitude: 0.5002661558805932
Wavelength: 1.92e-06 m, Magnitude: 0.5002670113799439
Wavelength: 1.92e-06 m, Magnitude: 0.5002678682534399
Wavelength: 1.92e-06 m, Magnitude: 0.5002687265020095
Wavelength: 1.91e-06 m, Magnitude: 0.5002695861251054
Wavelength: 1.91e-06 m, Magnitude: 0.5002704471228167
Wavelength: 1.91e-06 m, Magnitude: 0.5002713094945856
Wavelength: 1.90e-06 m, Magnitude: 0.5002721732411713
Wavelength: 1.90e-06 m, Magnitude: 0.5002730383626739
Wavelength: 1.90e-06 m, Magnitude: 0.5002739048587667
Wavelength: 1.90e-06 m, Magnitude: 0.5002747727291204
Wavelength: 1.89e-06 m, Magnitude: 0.5002756419740975
Wavelength: 1.89e-06 m, Magnitude: 0.5002765125941215
Wavelength: 1.89e-06 m, Magnitude: 0.5002773845889187
Wavelength: 1.88e-06 m, Magnitude: 0.5002782579580407
Wavelength: 1.88e-06 m, Magnitude: 0.5002791327017202
Wavelength: 1.88e-06 m, Magnitude: 0.5002800088202305
Wavelength: 1.87e-06 m, Magnitude: 0.5002808863138808
Wavelength: 1.87e-06 m, Magnitude: 0.5002817651819401
Wavelength: 1.87e-06 m, Magnitude: 0.5002826454245725
Wavelength: 1.87e-06 m, Magnitude: 0.500283527041895
Wavelength: 1.86e-06 m, Magnitude: 0.5002844100343483
Wavelength: 1.86e-06 m, Magnitude: 0.5002852944015543
Wavelength: 1.86e-06 m, Magnitude: 0.5002861801432481
Wavelength: 1.85e-06 m, Magnitude: 0.5002870672597279
Wavelength: 1.85e-06 m, Magnitude: 0.5002879557512504
Wavelength: 1.85e-06 m, Magnitude: 0.5002888456176323
Wavelength: 1.85e-06 m, Magnitude: 0.5002897368588523
Wavelength: 1.84e-06 m, Magnitude: 0.5002906294746247
Wavelength: 1.84e-06 m, Magnitude: 0.5002915234653645
Wavelength: 1.84e-06 m, Magnitude: 0.5002924188313009
Wavelength: 1.83e-06 m, Magnitude: 0.5002933155721977
Wavelength: 1.83e-06 m, Magnitude: 0.5002942136875622
Wavelength: 1.83e-06 m, Magnitude: 0.5002951131777332
Wavelength: 1.83e-06 m, Magnitude: 0.500296014043181
Wavelength: 1.82e-06 m, Magnitude: 0.5002969162836176
Wavelength: 1.82e-06 m, Magnitude: 0.5002978198987859
Wavelength: 1.82e-06 m, Magnitude: 0.5002987248887537
Wavelength: 1.82e-06 m, Magnitude: 0.5002996312538082
Wavelength: 1.81e-06 m, Magnitude: 0.5003005389940559
Wavelength: 1.81e-06 m, Magnitude: 0.5003014481093212
Wavelength: 1.81e-06 m, Magnitude: 0.5003023585994113
Wavelength: 1.80e-06 m, Magnitude: 0.5003032704641799
Wavelength: 1.80e-06 m, Magnitude: 0.500304183704393
Wavelength: 1.80e-06 m, Magnitude: 0.5003050983198293
Wavelength: 1.80e-06 m, Magnitude: 0.5003060143100373
Wavelength: 1.79e-06 m, Magnitude: 0.5003069316752186
Wavelength: 1.79e-06 m, Magnitude: 0.5003078504156041
Wavelength: 1.79e-06 m, Magnitude: 0.5003087705315808
Wavelength: 1.79e-06 m, Magnitude: 0.5003096920221982
Wavelength: 1.78e-06 m, Magnitude: 0.5003106148878905
Wavelength: 1.78e-06 m, Magnitude: 0.5003115391286641
Wavelength: 1.78e-06 m, Magnitude: 0.5003124647447671
Wavelength: 1.77e-06 m, Magnitude: 0.5003133917361886
Wavelength: 1.77e-06 m, Magnitude: 0.5003143201026448
Wavelength: 1.77e-06 m, Magnitude: 0.5003152498439124
Wavelength: 1.77e-06 m, Magnitude: 0.5003161809606436
Wavelength: 1.76e-06 m, Magnitude: 0.5003171134528537
Wavelength: 1.76e-06 m, Magnitude: 0.5003180473201597
Wavelength: 1.76e-06 m, Magnitude: 0.500318982562371
Wavelength: 1.76e-06 m, Magnitude: 0.500319919179885
Wavelength: 1.75e-06 m, Magnitude: 0.5003208571729457
Wavelength: 1.75e-06 m, Magnitude: 0.5003217965414589
Wavelength: 1.75e-06 m, Magnitude: 0.5003227372848545
Wavelength: 1.75e-06 m, Magnitude: 0.5003236794034585
Wavelength: 1.74e-06 m, Magnitude: 0.5003246228975866
Wavelength: 1.74e-06 m, Magnitude: 0.5003255677674515
Wavelength: 1.74e-06 m, Magnitude: 0.5003265140123114
Wavelength: 1.74e-06 m, Magnitude: 0.5003274616320964
Wavelength: 1.73e-06 m, Magnitude: 0.5003284106274775
Wavelength: 1.73e-06 m, Magnitude: 0.5003293609986184
Wavelength: 1.73e-06 m, Magnitude: 0.5003303127450053
Wavelength: 1.73e-06 m, Magnitude: 0.5003312658667096
Wavelength: 1.72e-06 m, Magnitude: 0.5003322203634576
Wavelength: 1.72e-06 m, Magnitude: 0.5003331762360721
Wavelength: 1.72e-06 m, Magnitude: 0.5003341334841219
Wavelength: 1.72e-06 m, Magnitude: 0.5003350921078403
Wavelength: 1.71e-06 m, Magnitude: 0.5003360521065765
Wavelength: 1.71e-06 m, Magnitude: 0.5003370134807105
Wavelength: 1.71e-06 m, Magnitude: 0.5003379762310437
Wavelength: 1.71e-06 m, Magnitude: 0.500338940356668
Wavelength: 1.70e-06 m, Magnitude: 0.5003399058572726
Wavelength: 1.70e-06 m, Magnitude: 0.500340872733382
Wavelength: 1.70e-06 m, Magnitude: 0.5003418409856293
Wavelength: 1.70e-06 m, Magnitude: 0.5003428106135867
Wavelength: 1.69e-06 m, Magnitude: 0.5003437816166818
Wavelength: 1.69e-06 m, Magnitude: 0.5003447539952387
Wavelength: 1.69e-06 m, Magnitude: 0.500345727749318
Wavelength: 1.69e-06 m, Magnitude: 0.500346702879902
Wavelength: 1.69e-06 m, Magnitude: 0.5003476793855945
Wavelength: 1.68e-06 m, Magnitude: 0.5003486572664599
Wavelength: 1.68e-06 m, Magnitude: 0.5003496365229537
Wavelength: 1.68e-06 m, Magnitude: 0.5003506171556046
Wavelength: 1.68e-06 m, Magnitude: 0.5003515991642206
Wavelength: 1.67e-06 m, Magnitude: 0.5003525825480434
Wavelength: 1.67e-06 m, Magnitude: 0.5003535673075055
Wavelength: 1.67e-06 m, Magnitude: 0.5003545534428865
Wavelength: 1.67e-06 m, Magnitude: 0.5003555409541325
Wavelength: 1.66e-06 m, Magnitude: 0.5003565298413625
Wavelength: 1.66e-06 m, Magnitude: 0.5003575201037713
Wavelength: 1.66e-06 m, Magnitude: 0.5003585117418677
Wavelength: 1.66e-06 m, Magnitude: 0.5003595047564589
Wavelength: 1.65e-06 m, Magnitude: 0.5003604991468433
Wavelength: 1.65e-06 m, Magnitude: 0.500361494912537
Wavelength: 1.65e-06 m, Magnitude: 0.5003624920536781
Wavelength: 1.65e-06 m, Magnitude: 0.5003634905712498
Wavelength: 1.65e-06 m, Magnitude: 0.5003644904651484
Wavelength: 1.64e-06 m, Magnitude: 0.5003654917345496
Wavelength: 1.64e-06 m, Magnitude: 0.5003664943791645
Wavelength: 1.64e-06 m, Magnitude: 0.5003674983998714
Wavelength: 1.64e-06 m, Magnitude: 0.5003685037973022
Wavelength: 1.63e-06 m, Magnitude: 0.5003695105706906
Wavelength: 1.63e-06 m, Magnitude: 0.5003705187192524
Wavelength: 1.63e-06 m, Magnitude: 0.5003715282433863
Wavelength: 1.63e-06 m, Magnitude: 0.5003725391443631
Wavelength: 1.63e-06 m, Magnitude: 0.5003735514218747
Wavelength: 1.62e-06 m, Magnitude: 0.5003745650745764
Wavelength: 1.62e-06 m, Magnitude: 0.5003755801027269
Wavelength: 1.62e-06 m, Magnitude: 0.5003765965070349
Wavelength: 1.62e-06 m, Magnitude: 0.5003776142886144
Wavelength: 1.61e-06 m, Magnitude: 0.5003786334460535
Wavelength: 1.61e-06 m, Magnitude: 0.5003796539784562
Wavelength: 1.61e-06 m, Magnitude: 0.5003806758864376
Wavelength: 1.61e-06 m, Magnitude: 0.5003816991719073
Wavelength: 1.61e-06 m, Magnitude: 0.5003827238343168
Wavelength: 1.60e-06 m, Magnitude: 0.5003837498718016
Wavelength: 1.60e-06 m, Magnitude: 0.5003847772837894
Wavelength: 1.60e-06 m, Magnitude: 0.5003858060728086
Wavelength: 1.60e-06 m, Magnitude: 0.5003868362401527
Wavelength: 1.60e-06 m, Magnitude: 0.5003878677832031
Wavelength: 1.59e-06 m, Magnitude: 0.5003889006997531
Wavelength: 1.59e-06 m, Magnitude: 0.5003899349921963
Wavelength: 1.59e-06 m, Magnitude: 0.5003909706632442
Wavelength: 1.59e-06 m, Magnitude: 0.5003920077141145
Wavelength: 1.58e-06 m, Magnitude: 0.5003930461365576
Wavelength: 1.58e-06 m, Magnitude: 0.5003940859280968
Wavelength: 1.58e-06 m, Magnitude: 0.5003951270946673
Wavelength: 1.58e-06 m, Magnitude: 0.5003961696467775
Wavelength: 1.58e-06 m, Magnitude: 0.5003972135849994
Wavelength: 1.57e-06 m, Magnitude: 0.5003982589003233
Wavelength: 1.57e-06 m, Magnitude: 0.5003993055838943
Wavelength: 1.57e-06 m, Magnitude: 0.5004003536369053
Wavelength: 1.57e-06 m, Magnitude: 0.5004014030666197
Wavelength: 1.57e-06 m, Magnitude: 0.5004024538778837
Wavelength: 1.56e-06 m, Magnitude: 0.5004035060667923
Wavelength: 1.56e-06 m, Magnitude: 0.5004045596293317
Wavelength: 1.56e-06 m, Magnitude: 0.500405614566433
Wavelength: 1.56e-06 m, Magnitude: 0.5004066708816785
Wavelength: 1.56e-06 m, Magnitude: 0.5004077285755044
Wavelength: 1.55e-06 m, Magnitude: 0.500408787644856
Wavelength: 1.55e-06 m, Magnitude: 0.5004098480889396
Wavelength: 1.55e-06 m, Magnitude: 0.5004109099094323
Wavelength: 1.55e-06 m, Magnitude: 0.5004119731081058
Wavelength: 1.55e-06 m, Magnitude: 0.5004130376839224
Wavelength: 1.54e-06 m, Magnitude: 0.5004141036348501
Wavelength: 1.54e-06 m, Magnitude: 0.5004151709615964
Wavelength: 1.54e-06 m, Magnitude: 0.5004162396657333
Wavelength: 1.54e-06 m, Magnitude: 0.5004173097475607
Wavelength: 1.54e-06 m, Magnitude: 0.5004183812054055
Wavelength: 1.53e-06 m, Magnitude: 0.5004194540389967
Wavelength: 1.53e-06 m, Magnitude: 0.5004205282491541
Wavelength: 1.53e-06 m, Magnitude: 0.5004216038369609
Wavelength: 1.53e-06 m, Magnitude: 0.5004226808017118
Wavelength: 1.53e-06 m, Magnitude: 0.5004237591422979
Wavelength: 1.52e-06 m, Magnitude: 0.500424838859073
Wavelength: 1.52e-06 m, Magnitude: 0.5004259199530733
Wavelength: 1.52e-06 m, Magnitude: 0.5004270024247814
Wavelength: 1.52e-06 m, Magnitude: 0.5004280862724905
Wavelength: 1.52e-06 m, Magnitude: 0.5004291714962278
Wavelength: 1.51e-06 m, Magnitude: 0.5004302580969399
Wavelength: 1.51e-06 m, Magnitude: 0.5004313460751557
Wavelength: 1.51e-06 m, Magnitude: 0.5004324354303241
Wavelength: 1.51e-06 m, Magnitude: 0.5004335261617285
Wavelength: 1.51e-06 m, Magnitude: 0.5004346182694199
Wavelength: 1.51e-06 m, Magnitude: 0.5004357117546859
Wavelength: 1.50e-06 m, Magnitude: 0.5004368066168348
Wavelength: 1.50e-06 m, Magnitude: 0.5004379028562765
Wavelength: 1.50e-06 m, Magnitude: 0.5004390004721486
Wavelength: 1.50e-06 m, Magnitude: 0.5004400994637638
Wavelength: 1.50e-06 m, Magnitude: 0.5004411998342292
Wavelength: 1.49e-06 m, Magnitude: 0.5004423015810242
Wavelength: 1.49e-06 m, Magnitude: 0.5004434047035142
Wavelength: 1.49e-06 m, Magnitude: 0.5004445092031357
Wavelength: 1.49e-06 m, Magnitude: 0.5004456150809627
Wavelength: 1.49e-06 m, Magnitude: 0.5004467223358441
Wavelength: 1.48e-06 m, Magnitude: 0.5004478309670914
Wavelength: 1.48e-06 m, Magnitude: 0.5004489409753888
Wavelength: 1.48e-06 m, Magnitude: 0.5004500523602271
Wavelength: 1.48e-06 m, Magnitude: 0.5004511651237954
Wavelength: 1.48e-06 m, Magnitude: 0.5004522792633523
Wavelength: 1.48e-06 m, Magnitude: 0.5004533947792779
Wavelength: 1.47e-06 m, Magnitude: 0.5004545116726287
Wavelength: 1.47e-06 m, Magnitude: 0.5004556299436386
Wavelength: 1.47e-06 m, Magnitude: 0.5004567495919975
Wavelength: 1.47e-06 m, Magnitude: 0.5004578706169894
Wavelength: 1.47e-06 m, Magnitude: 0.5004589930187857
Wavelength: 1.46e-06 m, Magnitude: 0.5004601167982904
Wavelength: 1.46e-06 m, Magnitude: 0.5004612419554406
Wavelength: 1.46e-06 m, Magnitude: 0.500462368489297
Wavelength: 1.46e-06 m, Magnitude: 0.5004634963998684
Wavelength: 1.46e-06 m, Magnitude: 0.5004646256878834
Wavelength: 1.46e-06 m, Magnitude: 0.5004657563537802
Wavelength: 1.45e-06 m, Magnitude: 0.5004668883969792
Wavelength: 1.45e-06 m, Magnitude: 0.5004680218166425
Wavelength: 1.45e-06 m, Magnitude: 0.5004691566136203
Wavelength: 1.45e-06 m, Magnitude: 0.5004702927882613
Wavelength: 1.45e-06 m, Magnitude: 0.5004714303408111
Wavelength: 1.45e-06 m, Magnitude: 0.5004725692703137
Wavelength: 1.44e-06 m, Magnitude: 0.5004737095764392
Wavelength: 1.44e-06 m, Magnitude: 0.5004748512602037
Wavelength: 1.44e-06 m, Magnitude: 0.5004759943221553
Wavelength: 1.44e-06 m, Magnitude: 0.5004771387614881
Wavelength: 1.44e-06 m, Magnitude: 0.5004782845774988
Wavelength: 1.43e-06 m, Magnitude: 0.5004794317706603
Wavelength: 1.43e-06 m, Magnitude: 0.5004805803419927
Wavelength: 1.43e-06 m, Magnitude: 0.500481730291322
Wavelength: 1.43e-06 m, Magnitude: 0.5004828816174068
Wavelength: 1.43e-06 m, Magnitude: 0.5004840343204613
Wavelength: 1.43e-06 m, Magnitude: 0.5004851884012911
Wavelength: 1.42e-06 m, Magnitude: 0.5004863438605877
Wavelength: 1.42e-06 m, Magnitude: 0.5004875006972506
Wavelength: 1.42e-06 m, Magnitude: 0.5004886589105637
Wavelength: 1.42e-06 m, Magnitude: 0.5004898185012149
Wavelength: 1.42e-06 m, Magnitude: 0.500490979470598
Wavelength: 1.42e-06 m, Magnitude: 0.5004921418179257
Wavelength: 1.41e-06 m, Magnitude: 0.5004933055424899
Wavelength: 1.41e-06 m, Magnitude: 0.5004944706431859
Wavelength: 1.41e-06 m, Magnitude: 0.500495637122164
Wavelength: 1.41e-06 m, Magnitude: 0.5004968049804738
Wavelength: 1.41e-06 m, Magnitude: 0.5004979742160149
Wavelength: 1.41e-06 m, Magnitude: 0.5004991448273117
Wavelength: 1.40e-06 m, Magnitude: 0.5005003168165837
Wavelength: 1.40e-06 m, Magnitude: 0.5005014901843508
Wavelength: 1.40e-06 m, Magnitude: 0.5005026649334903
Wavelength: 1.40e-06 m, Magnitude: 0.5005038410566311
Wavelength: 1.40e-06 m, Magnitude: 0.5005050185530974
Wavelength: 1.40e-06 m, Magnitude: 0.5005061974263285
Wavelength: 1.39e-06 m, Magnitude: 0.500507377683753
Wavelength: 1.39e-06 m, Magnitude: 0.500508559324657
Wavelength: 1.39e-06 m, Magnitude: 0.5005097423437196
Wavelength: 1.39e-06 m, Magnitude: 0.5005109267359236
Wavelength: 1.39e-06 m, Magnitude: 0.5005121125016669
Wavelength: 1.39e-06 m, Magnitude: 0.5005132996460261
Wavelength: 1.39e-06 m, Magnitude: 0.5005144881709614
Wavelength: 1.38e-06 m, Magnitude: 0.5005156780744277
Wavelength: 1.38e-06 m, Magnitude: 0.5005168693546114
Wavelength: 1.38e-06 m, Magnitude: 0.5005180620114987
Wavelength: 1.38e-06 m, Magnitude: 0.5005192560473766
Wavelength: 1.38e-06 m, Magnitude: 0.5005204514622108
Wavelength: 1.38e-06 m, Magnitude: 0.5005216482548134
Wavelength: 1.37e-06 m, Magnitude: 0.5005228464244573
